run_id,symbol,timeframe,source_csv,n_strategies,top_n,seed,result_type,id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_sharp,train_drawdown,train_trades,train_winrate,score,robust_score,train_chop_trades,train_chop_trade_share,train_chop_pnl,train_chop_return_pct,train_chop_win_rate,train_chop_avg_trade_return_pct,train_chop_total_trade_return_pct,train_trendy_trades,train_trendy_trade_share,train_trendy_pnl,train_trendy_return_pct,train_trendy_win_rate,train_trendy_avg_trade_return_pct,train_trendy_total_trade_return_pct,train_volatile_trades,train_volatile_trade_share,train_volatile_pnl,train_volatile_return_pct,train_volatile_win_rate,train_volatile_avg_trade_return_pct,train_volatile_total_trade_return_pct,test_return,test_sharpe,test_sharp,test_drawdown,test_trades,test_winrate,test_score,test_chop_trades,test_chop_trade_share,test_chop_pnl,test_chop_return_pct,test_chop_win_rate,test_chop_avg_trade_return_pct,test_chop_total_trade_return_pct,test_trendy_trades,test_trendy_trade_share,test_trendy_pnl,test_trendy_return_pct,test_trendy_win_rate,test_trendy_avg_trade_return_pct,test_trendy_total_trade_return_pct,test_volatile_trades,test_volatile_trade_share,test_volatile_pnl,test_volatile_return_pct,test_volatile_win_rate,test_volatile_avg_trade_return_pct,test_volatile_total_trade_return_pct
20260528T083158Z,btcusdt,15m,data\btcusdt_15m.csv,500,25,3574,train_top500,af9c3315,bear,s114|s105,2,0.075959844,0.0277915837,35.6893,1.2588,1.2588,-23.2791,51,35.2941,0.277807,0.277807,21,0.4118,13015.33,1.3015,28.5714,0.1852,3.8885,3,0.0588,22798.62,2.2799,33.3333,0.6792,2.0376,27,0.5294,411715.01,41.1715,40.7407,1.4477,39.0887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083158Z,btcusdt,15m,data\btcusdt_15m.csv,500,25,3574,train_top500,cea2fb67,bear,s128|s77,2,0.0522511787,0.0388868611,22.0412,1.1072,1.1072,-22.103,58,50.0,0.246411,0.246411,14,0.2414,2447.38,0.2447,42.8571,0.0172,0.2412,10,0.1724,-36453.98,-3.6454,40.0,-0.2431,-2.4314,34,0.5862,357444.98,35.7445,55.8824,1.2045,40.9515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083158Z,btcusdt,15m,data\btcusdt_15m.csv,500,25,3574,train_top500,a8c7c47c,bear,s61|s117|s77,3,0.0544942596,0.0396520946,21.5621,1.0487,1.0487,-22.2944,57,49.1228,0.23817,0.23817,15,0.2632,-31753.78,-3.1754,40.0,-0.1994,-2.9904,10,0.1754,56027.74,5.6028,50.0,0.7421,7.4213,32,0.5614,289141.48,28.9141,53.125,1.0364,33.1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083158Z,btcusdt,15m,data\btcusdt_15m.csv,500,25,3574,train_top500,4662a6b9,bull,s1|s93|s4,3,0.0300782771,0.0229348221,9.5068,1.1399,1.1399,-16.4996,57,50.8772,0.205368,0.205368,44,0.7719,41358.54,4.1359,45.4545,0.1162,5.1137,5,0.0877,151166.07,15.1166,100.0,3.0078,15.0392,8,0.1404,16245.28,1.6245,50.0,0.3571,2.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083158Z,btcusdt,15m,data\btcusdt_15m.csv,500,25,3574,train_top500,89b3bded,bear,s102|s81|s28,3,0.0424443965,0.0212981318,12.5392,1.0757,1.0757,-12.5934,65,40.0,0.195782,0.195782,18,0.2769,-12242.98,-1.2243,33.3333,-0.005,-0.0909,22,0.3385,-92256.61,-9.2257,27.2727,-0.3914,-8.6101,25,0.3846,335467.42,33.5467,56.0,1.4397,35.9925,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083158Z,btcusdt,15m,data\btcusdt_15m.csv,500,25,3574,train_top500,77b33ee2,bear,s114|s99|s51,3,0.0375382075,0.0175014498,7.3802,1.0738,1.0738,-16.1315,71,38.0282,0.160446,0.160446,40,0.5634,50105.24,5.0105,35.0,0.1762,7.0493,8,0.1127,75428.46,7.5428,50.0,1.0018,8.0145,23,0.3239,77524.42,7.7524,39.1304,0.4036,9.2831,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083158Z,btcusdt,15m,data\btcusdt_15m.csv,500,25,3574,train_top500,fe5160c0,bull,s29|s46|s32,3,0.0264563728,0.0165655033,1.498,0.9668,0.9668,-13.7496,70,44.2857,0.147964,0.147964,28,0.4,43450.47,4.345,42.8571,0.1873,5.243,25,0.3571,173744.67,17.3745,56.0,0.7527,18.8175,17,0.2429,-69199.4,-6.9199,29.4118,-0.3912,-6.6504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083158Z,btcusdt,15m,data\btcusdt_15m.csv,500,25,3574,train_top500,c2655a33,bear,s72|s81,2,0.0597917635,0.027341585,13.6336,0.9143,0.9143,-32.9568,68,36.7647,0.142207,0.142207,13,0.1912,34368.26,3.4368,38.4615,0.6171,8.0224,19,0.2794,-83452.15,-8.3452,26.3158,-0.4412,-8.3823,36,0.5294,291780.24,29.178,41.6667,0.8964,32.2697,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083158Z,btcusdt,15m,data\btcusdt_15m.csv,500,25,3574,train_top500,7a2f59d3,bear,s128|s122|s101,3,0.0238464654,0.0094596668,-0.6933,1.1596,1.1596,-12.6522,81,34.5679,0.127572,0.127572,40,0.4938,43468.6,4.3469,32.5,0.1365,5.4589,13,0.1605,33946.23,3.3946,38.4615,0.3351,4.3558,28,0.3457,60287.2,6.0287,35.7143,0.2435,6.8188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083158Z,btcusdt,15m,data\btcusdt_15m.csv,500,25,3574,train_top500,0e74a61f,bear,s89|s28,2,0.0431437182,0.0173351195,2.7442,0.761,0.761,-13.4712,60,33.3333,0.1144,0.1144,17,0.2833,5969.14,0.5969,29.4118,0.0453,0.7699,14,0.2333,-2789.25,-0.2789,28.5714,-0.0055,-0.0776,29,0.4833,139998.74,13.9999,37.931,0.5605,16.2553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083158Z,btcusdt,15m,data\btcusdt_15m.csv,500,25,3574,train_top500,29028ece,bear,s101|s89,2,0.0591724718,0.0301391876,8.9569,0.7052,0.7052,-33.4505,63,38.0952,0.110955,0.110955,9,0.1429,55264.51,5.5265,44.4444,0.9555,8.5992,20,0.3175,65691.79,6.5692,40.0,0.5585,11.171,34,0.5397,59877.73,5.9878,35.2941,0.1383,4.7012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083158Z,btcusdt,15m,data\btcusdt_15m.csv,500,25,3574,train_top500,5406328a,bear,s106|s28|s86,3,0.0639378587,0.0250474797,4.1259,0.6068,0.6068,-25.8685,53,32.0755,0.083426,0.083426,20,0.3774,84142.12,8.4142,35.0,0.6097,12.1945,5,0.0943,-110257.66,-11.0258,0.0,-2.5047,-12.5233,28,0.5283,142901.4,14.2901,35.7143,0.6733,18.8517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083158Z,btcusdt,15m,data\btcusdt_15m.csv,500,25,3574,train_top500,ab8a801a,bear,s80|s57,2,0.0439708422,0.0309064704,-0.6764,0.6014,0.6014,-32.3308,83,44.5783,0.079824,0.079824,29,0.3494,-73828.23,-7.3828,37.931,-0.2507,-7.2692,6,0.0723,31646.31,3.1646,50.0,0.6532,3.9193,48,0.5783,161886.4,16.1886,47.9167,0.4972,23.8653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083158Z,btcusdt,15m,data\btcusdt_15m.csv,500,25,3574,train_top500,ffc81fc4,bear,s72|s117|s57,3,0.0450693196,0.0228562077,-3.5115,0.6904,0.6904,-31.6397,100,37.0,0.054843,0.054843,38,0.38,27216.23,2.7216,36.8421,0.2168,8.2373,12,0.12,-13558.82,-1.3559,33.3333,-0.0215,-0.2575,50,0.5,101582.36,10.1582,38.0,0.2955,14.7762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083158Z,btcusdt,15m,data\btcusdt_15m.csv,500,25,3574,train_top500,90b2be9c,bear,s77|s61|s89,3,0.0496382349,0.0255146482,-2.4468,0.5336,0.5336,-30.2438,73,36.9863,0.052984,0.052984,22,0.3014,72746.72,7.2747,40.9091,0.5229,11.5048,13,0.1781,25797.45,2.5797,38.4615,0.339,4.4075,38,0.5205,-8489.02,-0.8489,34.2105,0.0196,0.7438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083158Z,btcusdt,15m,data\btcusdt_15m.csv,500,25,3574,train_top500,9b653e7a,bull,s127|s111|s24,3,0.0452434523,0.0193629358,-4.0609,0.4647,0.4647,-27.4946,61,32.7869,0.036586,0.036586,28,0.459,82011.42,8.2011,35.7143,0.3711,10.39,17,0.2787,-4077.44,-0.4077,29.4118,-0.0361,-0.6136,16,0.2623,8915.32,0.8915,31.25,0.0827,1.3228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083158Z,btcusdt,15m,data\btcusdt_15m.csv,500,25,3574,validated,9b653e7a,bull,s127|s111|s24,3,0.0452434523,0.0193629358,-4.0609,0.4647,0.4647,-27.4946,61,32.7869,0.036586,0.356924,28,0.459,82011.42,8.2011,35.7143,0.3711,10.39,17,0.2787,-4077.44,-0.4077,29.4118,-0.0361,-0.6136,16,0.2623,8915.32,0.8915,31.25,0.0827,1.3228,7.9569,1.2233,1.2233,-9.484,17.0,41.1765,0.06568,4.0,0.2353,48961.98,4.8962,50.0,1.294,5.1761,5.0,0.2941,32422.49,3.2422,40.0,0.6478,3.2392,8.0,0.4706,31878.45,3.1878,37.5,0.4864,3.8911
20260528T083158Z,btcusdt,15m,data\btcusdt_15m.csv,500,25,3574,validated,4662a6b9,bull,s1|s93|s4,3,0.0300782771,0.0229348221,9.5068,1.1399,1.1399,-16.4996,57,50.8772,0.205368,0.228624,44,0.7719,41358.54,4.1359,45.4545,0.1162,5.1137,5,0.0877,151166.07,15.1166,100.0,3.0078,15.0392,8,0.1404,16245.28,1.6245,50.0,0.3571,2.8571,3.9975,0.8189,0.8189,-9.2018,13.0,53.8462,0.047667,7.0,0.5385,-3734.09,-0.3734,42.8571,-0.0215,-0.1503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.4615,72215.17,7.2215,66.6667,1.2407,7.4443
20260528T083300Z,btcusdt,30m,data\btcusdt_30m.csv,500,25,3575,train_top500,8d5d14f9,bear,s50|s61,2,0.067040372,0.0259539273,26.4845,1.2224,1.2224,-20.8941,59,35.5932,0.239719,0.239719,22,0.3729,-188204.87,-18.8205,18.1818,-0.9046,-19.9009,11,0.1864,-22503.59,-2.2504,27.2727,-0.0592,-0.651,26,0.4407,572426.24,57.2426,53.8462,2.4122,62.7175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083300Z,btcusdt,30m,data\btcusdt_30m.csv,500,25,3575,train_top500,a8f2b87c,bull,s4|s96|s47,3,0.0246593441,0.0158383315,2.4554,1.2809,1.2809,-15.0092,113,45.1327,0.170717,0.170717,46,0.4071,-16595.6,-1.6596,39.1304,0.0008,0.0379,30,0.2655,88332.24,8.8332,46.6667,0.3061,9.182,37,0.3274,184386.2,18.4386,51.3514,0.4957,18.3427,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083300Z,btcusdt,30m,data\btcusdt_30m.csv,500,25,3575,train_top500,ed000dd2,bull,s95|s42|s15|s11,4,0.027583556,0.0205611468,-0.6214,0.672,0.672,-14.3815,55,47.2727,0.126942,0.126942,26,0.4727,85415.07,8.5415,50.0,0.3511,9.129,12,0.2182,89596.36,8.9596,58.3333,0.7523,9.0276,17,0.3091,-68398.99,-6.8399,35.2941,-0.3569,-6.0673,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083300Z,btcusdt,30m,data\btcusdt_30m.csv,500,25,3575,train_top500,ba92bb7a,bear,s90|s85,2,0.0491945008,0.019388482,6.8226,0.8524,0.8524,-20.227,76,32.8947,0.123628,0.123628,22,0.2895,33808.9,3.3809,31.8182,0.2433,5.3532,21,0.2763,-230912.58,-23.0913,9.5238,-1.2857,-26.9995,33,0.4342,378836.59,37.8837,48.4848,1.3864,45.7508,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083300Z,btcusdt,30m,data\btcusdt_30m.csv,500,25,3575,train_top500,94fc48de,bull,s46|s115|s84,3,0.0236918455,0.013889452,-3.7608,0.6751,0.6751,-13.459,76,40.7895,0.098638,0.098638,45,0.5921,-26644.71,-2.6645,35.5556,-0.0527,-2.3723,12,0.1579,52443.59,5.2444,50.0,0.4902,5.8819,19,0.25,70592.38,7.0592,47.3684,0.3912,7.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083300Z,btcusdt,30m,data\btcusdt_30m.csv,500,25,3575,train_top500,ec7f66f3,bear,s106|s108|s118,3,0.0496555129,0.0375432415,-0.4612,0.4438,0.4438,-22.7899,52,46.1538,0.094357,0.094357,15,0.2885,-58957.37,-5.8957,40.0,-0.2665,-3.9977,13,0.25,28026.54,2.8027,46.1538,0.2701,3.5117,24,0.4615,106594.57,10.6595,50.0,0.6056,14.5349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083300Z,btcusdt,30m,data\btcusdt_30m.csv,500,25,3575,train_top500,c5e2ef42,bear,s103|s90|s81,3,0.0380112621,0.0283514472,-8.0853,0.3949,0.3949,-19.7218,71,45.0704,0.060543,0.060543,15,0.2113,-32086.23,-3.2086,40.0,-0.1806,-2.7097,24,0.338,88694.06,8.8694,50.0,0.483,11.5919,32,0.4507,-8696.97,-0.8697,43.75,0.0682,2.1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260528T083300Z,btcusdt,30m,data\btcusdt_30m.csv,500,25,3575,train_top500,68be9e7b,bull,s74|s91|s83,3,0.0374250267,0.0183213851,-6.0261,0.3485,0.3485,-15.4322,57,35.0877,0.050647,0.050647,40,0.7018,85524.85,8.5525,37.5,0.2584,10.3349,4,0.0702,88983.06,8.8983,75.0,2.3488,9.3954,13,0.2281,-123473.97,-12.3474,15.3846,-0.9744,-12.6676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
