2011-02-17 00:00	30.867	31.760	30.847	31.630	3590
2011-02-18 00:00	31.620	32.850	31.540	32.620	53898
2011-02-20 00:00	32.730	33.030	32.710	33.020	1993
2011-02-21 00:00	33.030	34.300	32.900	34.030	48110
2011-02-22 00:00	34.030	34.070	32.370	32.990	39352
2011-02-23 00:00	33.000	33.730	32.590	33.640	49415
2011-02-24 00:00	33.650	33.750	31.740	32.500	64431
2011-02-25 00:00	32.510	33.390	32.460	33.340	21866
2011-02-27 00:00	33.530	33.570	33.410	33.430	2598
2011-02-28 00:00	33.440	33.980	33.250	33.890	52675
2011-03-01 00:00	33.890	34.680	33.770	34.550	48316
2011-03-02 00:00	34.560	34.950	34.220	34.550	56696
2011-03-03 00:00	34.560	34.940	34.020	34.480	57566
2011-03-04 00:00	34.470	35.590	34.280	35.570	50097
2011-03-06 00:00	35.890	36.000	35.840	35.930	3475
2011-03-07 00:00	35.940	36.720	35.680	35.760	59906
2011-03-08 00:00	35.750	36.537	35.500	36.030	26356
2011-03-09 00:00	36.025	36.427	35.617	36.003	2574
2011-03-10 00:00	36.006	36.177	34.661	35.328	2404
2011-03-11 00:00	35.326	36.162	34.047	35.903	1612
2011-03-13 00:00	35.949	36.485	35.822	36.288	114
2011-03-14 00:00	36.293	36.426	35.491	35.826	1450
2011-03-15 00:00	35.826	35.841	33.560	34.228	1666
2011-03-16 00:00	34.220	35.058	33.711	33.754	1386
2011-03-17 00:00	33.754	34.644	33.641	34.433	1598
2011-03-18 00:00	34.437	35.396	34.437	35.212	1254
2011-03-20 00:00	35.357	35.762	35.345	35.644	121
2011-03-21 00:00	35.643	36.189	35.593	36.043	1454
2011-03-22 00:00	36.044	36.449	35.746	36.324	1379
2011-03-23 00:00	36.315	37.385	36.134	37.277	1363
2011-03-24 00:00	37.278	38.149	36.833	37.268	1407
2011-03-25 00:00	37.273	37.762	36.853	37.291	1873
2011-03-27 00:00	37.231	37.361	37.016	37.134	161
2011-03-28 00:00	37.133	37.304	36.406	37.093	1731
2011-03-29 00:00	37.093	37.184	36.503	37.013	1580
2011-03-30 00:00	36.994	37.733	36.864	37.384	1517
2011-03-31 00:00	37.374	37.934	37.333	37.623	1531
2011-04-01 00:00	37.623	37.834	37.053	37.757	1594
2011-04-03 00:00	37.782	38.004	37.738	37.974	149
2011-04-04 00:00	37.973	38.724	37.903	38.623	1458
2011-04-05 00:00	38.613	39.284	38.043	39.154	1558
2011-04-06 00:00	39.154	39.754	39.070	39.463	1660
2011-04-07 00:00	39.464	39.674	39.193	39.536	1478
2011-04-08 00:00	39.536	40.932	39.483	40.921	1460
2011-04-10 00:00	40.986	41.204	40.881	41.174	348
2011-04-11 00:00	41.173	41.934	39.746	40.343	9257
2011-04-12 00:00	40.344	40.864	39.703	40.047	12863
2011-04-13 00:00	40.046	40.734	40.033	40.507	11668
2011-04-14 00:00	40.507	42.402	40.423	42.224	9203
2011-04-15 00:00	42.234	42.964	41.792	42.947	2234
2011-04-17 00:00	42.983	43.274	42.978	43.224	1008
2011-04-18 00:00	43.223	43.534	42.173	43.213	2215
2011-04-19 00:00	43.205	44.154	42.733	43.992	1863
2011-04-20 00:00	43.995	45.384	43.850	45.074	2480
2011-04-21 00:00	45.073	46.674	45.063	46.410	6594
2011-04-22 00:00	46.360	47.642	46.141	47.551	709
2011-04-24 00:00	46.646	47.754	46.646	47.703	128
2011-04-25 00:00	47.704	49.774	45.634	46.474	2987
2011-04-26 00:00	46.483	46.744	44.592	46.021	13995
2011-04-27 00:00	46.027	48.744	44.850	48.144	4460
2011-04-28 00:00	48.153	49.524	47.253	48.273	3244
2011-04-29 00:00	48.284	49.193	47.481	47.846	2131
2011-05-01 00:00	47.422	48.119	42.116	43.653	1893
2011-05-02 00:00	43.654	47.354	43.178	44.724	10706
2011-05-03 00:00	44.733	45.564	40.465	41.144	6700
2011-05-04 00:00	41.144	42.304	38.923	39.013	16429
2011-05-05 00:00	39.013	39.557	34.250	34.287	11221
2011-05-06 00:00	34.282	36.424	33.053	35.586	17842
2011-05-08 00:00	35.652	36.017	35.181	35.817	2572
2011-05-09 00:00	35.816	37.964	35.603	37.734	24004
2011-05-10 00:00	37.734	38.823	37.291	38.604	10945
2011-05-11 00:00	38.604	39.484	35.022	35.602	15780
2011-05-12 00:00	35.602	35.907	32.313	34.892	17308
2011-05-13 00:00	34.892	36.455	33.934	35.372	6838
2011-05-15 00:00	35.237	35.392	34.716	35.132	3448
2011-05-16 00:00	35.132	35.357	33.496	33.876	8744
2011-05-17 00:00	33.881	34.374	32.984	34.076	5633
2011-05-18 00:00	34.076	35.543	34.013	35.278	5196
2011-05-19 00:00	35.278	35.759	34.546	35.160	5675
2011-05-20 00:00	35.153	35.577	34.221	35.041	2473
2011-05-22 00:00	35.022	35.413	34.986	35.389	1057
2011-05-23 00:00	35.389	35.389	34.370	34.967	3648
2011-05-24 00:00	34.965	36.710	34.962	36.667	4882
2011-05-25 00:00	36.667	37.974	36.251	37.826	3164
2011-05-26 00:00	37.824	38.838	36.273	37.444	10551
2011-05-27 00:00	37.439	38.193	37.384	37.957	5453
